Analyse de télémétrie - Seuil d'alerte: 5 A
========================================

  Axe 1: 0.00° | 0.0°/s | 0.000A 
  Axe 2: 0.00° | 0.0°/s | 0.000A 
  Axe 3: 0.00° | 0.0°/s | 0.000A 
  Axe 4: 0.00° | 0.0°/s | 0.000A 
  Axe 5: 0.00° | 0.0°/s | 0.000A 
  Axe 6: 0.00° | 0.0°/s | 0.000A 

  Axe 1: 0.00° | 0.0°/s | 0.000A 
  Axe 2: 0.00° | 0.0°/s | 0.000A 
  Axe 3: 0.00° | 0.0°/s | 0.000A 
  Axe 4: 0.00° | 0.0°/s | 0.000A 
  Axe 5: 0.00° | 0.0°/s | 0.000A 
  Axe 6: 0.00° | 0.0°/s | 0.000A 

  Axe 1: 0.00° | 0.0°/s | 0.000A 
  Axe 2: 0.00° | 0.0°/s | 0.000A 
  Axe 3: 0.00° | 0.0°/s | 0.000A 
  Axe 4: 0.00° | 0.0°/s | 0.000A 
  Axe 5: 0.00° | 0.0°/s | 0.000A 
  Axe 6: 0.00° | 0.0°/s | 0.000A 

  Axe 1: 0.00° | 0.0°/s | 0.000A 
  Axe 2: 0.00° | 0.0°/s | 0.000A 
  Axe 3: 0.04° | 0.4°/s | 0.500A 
  Axe 4: 0.00° | 0.0°/s | 0.000A 
  Axe 5: 0.00° | 0.0°/s | 0.000A 
  Axe 6: 0.00° | 0.0°/s | 0.000A 

  Axe 1: 0.00° | 0.0°/s | 0.000A 
  Axe 2: 0.00° | 0.0°/s | 0.000A 
  Axe 3: 0.14° | 1.4°/s | 1.000A 
  Axe 4: 0.00° | 0.0°/s | 0.000A 
  Axe 5: 0.00° | 0.0°/s | 0.000A 
  Axe 6: 0.00° | 0.0°/s | 0.000A 

  Axe 1: 0.00° | 0.0°/s | 0.000A 
  Axe 2: 0.00° | 0.0°/s | 0.000A 
  Axe 3: 0.29° | 2.9°/s | 1.500A 
  Axe 4: 0.00° | 0.0°/s | 0.000A 
  Axe 5: 0.00° | 0.0°/s | 0.000A 
